Location,No.Days,humanPresence,tremarctosOrnatus,lepardusPardalis,leopardusSpp,pumaConcolor,eiraBarbara,mustelaSpp,galicitisVittata,mazamaSpp,nasuaNarica,potusFlavus,pecariTajacu,didelphisPernigra,dasypusNovemcinctus,dasyproctaPunctata,cuniculusPaca,sciurusGranatensis
LOC001,438,475,31,4,11,10,1,0,0,4,0,0,0,0,11,8,17,2
LOC002,527,1235,23,0,27,10,9,0,0,34,2,1,2,1,27,7,4,12
LOC003a,325,509,8,2,10,3,7,0,0,6,8,0,0,0,0,7,0,3
LOC004a,561,440.5,3,7,16,11,5,0,0,4,3,1,0,0,18,5,0,1
LOC006,532,227.5,24,1,9,15,7,0,0,0,1,0,0,0,0,0,0,0
LOC007,138,67,3,1,5,6,1,0,0,2,0,0,0,4,0,0,0,0
LOC007a,357,109,18,7,46,9,7,0,0,2,3,0,0,12,7,1,2,1
LOC008,567,155.5,49,4,88,13,8,1,0,3,3,0,0,44,2,2,2,4
LOC010,305,344.5,2,1,17,0,2,0,0,2,1,1,0,1,5,1,11,1
LOC012,702,717,6,4,31,7,26,0,0,55,0,0,0,4,63,30,0,2
LOC013,609,1774.5,5,0,21,6,9,0,0,3,1,1,0,5,27,7,0,3
LOC014,240,75.5,17,1,2,11,13,0,0,11,1,0,0,0,46,4,2,2
LOC015,290,211,7,3,50,2,3,2,0,1,1,0,0,0,1,0,0,35
LOC016,236,53.5,23,15,11,6,5,0,1,1,0,0,0,1,1,1,0,3
LOC018,123,123,0,1,4,1,1,0,0,1,0,0,1,0,5,2,0,9
LOC019,134,136,1,1,2,0,2,0,0,0,0,0,0,0,4,3,0,4